idhere,H_mag,family
2000 XT4,14.68,Hilda
2003 QY103,13.81,Background
2005 UR38,14.3,Background
1999 TS127,14.89,Schubart
1999 TC154,14.73,Potomac
1999 TR314,14.02,Hilda
1999 VN59,14.39,Schubart
1999 VU77,14.29,Hilda
1999 XE7,14.14,Hilda
2000 UB66,14.49,Background
2000 XV23,13.9,Potomac
2000 YA69,13.55,Background
1994 AB13,14.15,Background
1999 TH138,14.91,Schubart
1999 TV143,14.38,Hilda
1999 TX215,14.5,Schubart
1999 VP225,14.6,Background
2000 EO8,14.37,Background
2000 QD218,14.3,Hilda
2000 US23,14.63,Hilda
2001 DN47,14.17,Hilda
1999 TJ166,14.23,Background
1999 TV233,14.96,Potomac
1999 TM259,14.61,Schubart
1999 UU33,14.54,Background
1999 VE169,14.43,Background
1999 VQ212,14.71,Hilda
1999 XF6,14.45,Schubart
2001 UF205,14.32,Background
2002 CZ21,14.66,Background
2002 CT267,14.65,Background
2002 CV269,14.61,Schubart
2005 QW84,14.36,Background
2006 VX28,13.77,Potomac
1998 RJ63,14.52,Schubart
1999 TZ177,15.22,Schubart
1999 VG104,14.4,Hilda
1999 XN122,13.79,Hilda
2004 HS58,14.44,Background
2005 MX38,13.93,Background
2005 MC54,14.43,Potomac
2006 PG17,14.39,Background
2006 SM280,14.51,Background
2006 WG80,14.71,Schubart
Ingola,15.51,Background
1999 XZ163,13.73,Hilda
2000 WP173,14.49,Potomac
2001 FG154,14.34,Schubart
2002 EO133,14.4,Background
2002 FP21,13.82,Background
2002 GX137,14.22,Background
2002 JY91,14.95,Background
2002 KM4,14.7,Background
2004 RH157,13.83,Hilda
2004 SE2,14.18,Background
2005 OM7,14.34,Background
2005 OR7,13.99,Hilda
2005 PR19,14.62,Background
2005 SP165,14.82,Background
2005 SM201,15.13,Background
2006 QV93,15.27,Guinevere
2006 WE99,14.46,Background
2000 EJ73,15.11,Schubart
2001 HG21,13.98,Background
2002 JP10,13.95,Potomac
2004 NX10,13.85,Hilda
2005 RX7,14.62,Background
2005 UC144,15.03,Schubart
2005 UR265,14.71,Background
2005 VZ17,14.72,Schubart
1992 DJ6,14.42,Schubart
1993 FU53,14.21,Hilda
2005 UJ288,15.01,Background
2005 UD359,14.2,Schubart
2005 XN8,15.31,Schubart
2006 WX149,15.52,Schubart
2006 XZ17,15.32,Schubart
2007 CT25,15.28,Background
2008 CC70,13.98,Hilda
1997 UN5,14.62,Hilda
1999 TJ169,14.59,Background
2000 ET15,15.37,Schubart
2000 GR27,14.69,Schubart
2000 JK68,14.96,Potomac
2000 WA21,14.65,Schubart
2001 DS78,15.13,Background
2002 RN139,13.65,Background
2003 SD25,14.18,Hilda
2004 RB81,14.17,Hilda
2004 RD235,14.3,Hilda
2004 TG66,14.47,Potomac
2004 TF96,15.19,Background
2004 TH147,15.07,Background
2005 TN28,14.66,Background
2005 UF66,14.45,Background
2005 UR128,15.21,Background
Gobbihilda,14.88,Background
2005 WG91,14.95,Background
2005 WZ101,14.31,Schubart
2005 WY145,15.48,Schubart
2005 WK156,14.39,Potomac
2005 YH76,14.29,Background
2008 CJ7,14.47,Hilda
Sunyisui,14.53,Background
2000 GU150,14.61,Background
2002 SK40,14.6,Schubart
2003 QW64,14.3,Hilda
2003 TK15,14.54,Background
2004 TY120,14.71,Background
2004 TT224,15.5,Schubart
2004 TW232,15.14,Background
2004 VO7,14.33,Background
2005 TQ193,15.65,Schubart
2005 UJ361,15.17,Hilda
2005 VR114,15.44,Schubart
2006 BW232,14.95,Background
2007 DB3,14.73,Hilda
2002 NW37,14.26,Hilda
2003 SJ61,14.66,Schubart
