idhere,H_mag,family
2005 WP28,15.93,Schubart
2008 DH14,15.9,Schubart
2008 DS64,15.19,Background
2008 DX75,15.57,Background
2008 DQ80,15.7,Background
2008 ER161,15.48,Schubart
2008 FB115,15.52,Background
2011 SX174,14.9,Background
2013 SH53,15.75,Potomac
2014 UY102,15.79,Background
2014 WQ316,15.27,Background
2005 UD36,16.26,Schubart
2005 UT126,15.97,Schubart
2005 UK406,16.24,Schubart
2005 UY522,16.09,Potomac
2005 WZ109,15.86,Hilda
2005 WY198,16.07,Schubart
2008 FS48,15.02,Potomac
2012 TG21,15.85,Schubart
2012 TQ200,16.08,Background
2012 TC286,15.6,Background
2012 UG172,15.88,Hilda
2012 VK81,15.56,Background
2005 UC514,16.15,Schubart
2005 WL78,16.27,Schubart
2007 BA76,15.76,Schubart
2007 DJ82,15.88,Schubart
2007 DN103,16.14,Background
2007 DN111,16.33,Background
2008 HL54,15.55,Schubart
2009 SU30,15.52,Background
2009 SW145,15.36,Schubart
2011 QP92,15.6,Potomac
2011 RR7,15.98,Background
2011 SB110,14.99,Background
2011 US23,15.48,Potomac
2012 TG191,16.01,Hilda
2012 TL258,16.3,Background
2012 TN317,16.06,Background
2013 YV92,16.05,Schubart
2013 YA101,15.77,Hilda
2014 BO26,16.03,Hilda
2014 WF495,15.82,Background
2000 WB132,15.14,Potomac
2002 PA173,15.6,Background
2002 WU26,15.4,Schubart
2007 DH70,16.27,Background
2007 GC62,15.37,Background
2008 OS1,14.83,Background
2009 SQ181,15.82,Schubart
2009 SX201,15.79,Background
2009 ST211,15.35,Background
2009 ST354,15.8,Background
2009 VH26,15.8,Background
2010 ME115,15.15,Schubart
2010 PB70,15.33,Schubart
2010 VW79,15.13,Hilda
2010 VX206,15.47,Background
2011 SL63,15.56,Background
2013 YX105,15.76,Potomac
2008 PZ19,15.77,Schubart
2008 QF26,15.85,Background
2014 DK89,15.25,Schubart
2014 HF25,15.72,Schubart
2014 HL191,15.94,Background
2014 JA5,15.37,Hilda
2000 XH11,14.65,Potomac
2001 XS146,15.07,Hilda
2002 AW73,15.52,Hilda
2004 FK158,15.33,Hilda
2007 RX64,15.65,Schubart
2007 RQ107,15.25,Potomac
2007 RY238,15.05,Background
2007 TM121,15.73,Background
2007 TO434,15.63,Hilda
2008 SO136,15.44,Hilda
2008 TD67,15.36,Background
2008 TT69,15.66,Background
Domanski,15.26,Background
2008 UN7,15.81,Background
2008 UC180,15.81,Background
2008 UR239,15.63,Hilda
2008 WR138,15.91,Schubart
2009 VU28,15.76,Background
2009 WN10,15.1,Potomac
2009 WK33,15.52,Background
2011 CX117,15.24,Hilda
2012 AX23,14.79,Potomac
2012 FC29,15.44,Schubart
2013 ED24,15.63,Background
2013 EX104,15.23,Potomac
2013 GQ69,15.42,Background
2014 GM28,15.67,Schubart
2014 HX140,16.01,Schubart
1999 TR107,14.93,Hilda
2001 XP170,15.22,Background
2007 RP37,15.67,Schubart
2007 RD105,15.7,Schubart
2007 RT262,15.7,Schubart
2007 SC21,15.45,Hilda
2007 TL85,16.0,Background
2007 TK187,15.96,Background
2007 TJ209,15.92,Schubart
2007 TR440,15.18,Hilda
2007 WZ24,15.97,Schubart
2008 SO232,14.98,Hilda
2008 SE268,15.59,Schubart
2008 UE210,15.9,Schubart
2008 UD286,15.91,Schubart
2009 WC169,15.86,Schubart
2010 EY8,15.89,Background
2011 CZ86,15.34,Hilda
2012 BH112,15.75,Schubart
2012 FX26,15.43,Hilda
2014 OJ130,15.17,Hilda
2014 OL335,15.3,Background
2015 OB15,15.44,Background
1999 TC71,15.31,Hilda
1999 TE82,16.08,Schubart
2005 EN210,15.22,Potomac
2007 RP122,15.9,Background
2007 RA195,15.78,Schubart
2007 RQ221,15.89,Schubart
2007 TV156,15.94,Background
2007 TV373,15.41,Schubart
2007 UG132,15.28,Background
2008 UH167,15.96,Schubart
2008 YS99,15.83,Background
2009 AH8,15.92,Schubart
2013 FY6,15.52,Hilda
2014 OX122,15.48,Potomac
2007 RA134,15.67,Background
2007 RR262,15.64,Background
2007 TS158,15.37,Hilda
2007 TF232,16.1,Schubart
2007 TM235,16.19,Schubart
2007 TM259,16.56,Schubart
2007 TE300,16.2,Background
2007 TA301,16.7,Francette
2007 TP383,16.8,Hilda
2007 TE432,15.87,Background
2007 TQ444,15.52,Potomac
2007 TP451,15.35,Background
2007 VG4,15.76,Hilda
2007 VA95,15.83,Hilda
2007 VE213,15.9,Guinevere
2007 VB246,15.82,Hilda
2007 VY264,15.51,Background
2008 YW112,15.5,Schubart
2014 OX13,15.44,Background
2015 RV192,15.51,Background
1999 VQ116,16.09,Background
2006 PE23,15.75,Background
2006 QA125,16.11,Schubart
2006 SG140,14.74,Background
2007 TQ45,16.4,Schubart
2007 TL234,16.17,Schubart
2007 VD11,15.81,Background
2007 VR162,16.41,Background
2007 WC41,16.07,Background
2009 DB25,15.51,Background
2012 SH65,15.43,Background
2014 OB241,16.68,Background
2014 PF58,15.76,Schubart
2014 RW21,15.95,Schubart
2006 QZ10,16.34,Schubart
2006 SQ187,15.91,Background
2006 TG107,16.14,Background
2006 WK67,15.18,Potomac
2006 WU92,16.0,Background
2007 TV25,15.93,Background
2007 TV107,16.23,Schubart
2007 TZ174,16.33,Schubart
2007 TZ291,16.35,Schubart
2008 AD97,15.21,Background
2008 CZ76,14.93,Potomac
2009 HY12,15.59,Background
2010 AU91,14.96,Potomac
2010 JT117,15.91,Schubart
2012 TE77,15.78,Background
2014 QC30,15.95,Background
2014 QU351,15.51,Schubart
2014 QB418,15.13,Background
2015 VN141,16.26,Background
2006 XT20,15.69,Background
2008 AZ109,15.74,Background
2008 BO53,15.57,Schubart
2008 CU80,15.76,Potomac
2008 EY70,16.3,Schubart
2011 SR191,15.46,Background
2014 WM133,15.65,Schubart
2014 WK200,14.98,Background
2014 WC468,15.61,Background
2015 BU1,16.0,Background
2015 BE116,15.96,Guinevere
2015 BW165,15.73,Schubart
2015 DF150,15.22,Background
2003 SS27,15.07,Hilda
2005 WX15,15.74,Hilda
2007 CD48,15.68,Background
2008 CZ60,15.68,Background
2008 FA30,15.71,Background
2011 WC136,15.33,Potomac
2015 BS18,15.83,Background
2015 BY89,15.64,Background
2015 BU223,16.28,Background
2002 SX26,15.32,Background
2002 TN34,15.28,Schubart
2002 US43,15.73,Background
2011 UJ26,15.25,Background
2015 NS23,14.93,Potomac
2009 OT10,15.35,Background
2009 SB128,15.36,Background
2009 SY227,15.39,Background
2015 FY298,15.65,Potomac
2015 HO90,15.62,Schubart
2015 KE115,15.72,Hilda
2015 KM116,15.9,Background
2015 LL6,15.04,Hilda
2015 MA28,15.67,Hilda
2015 OC5,14.76,Background
2015 TH216,16.07,Schubart
2016 ES133,15.93,Hilda
2001 YT31,15.73,Schubart
2005 GF170,15.2,Background
2006 GN19,15.7,Schubart
2008 OP12,15.59,Schubart
2008 RM135,15.96,Hilda
2008 SQ83,15.96,Background
2008 SM110,15.66,Background
2008 SA188,15.9,Schubart
2008 SQ213,16.05,Background
2008 SW257,15.55,Background
2008 TU54,16.26,Schubart
2008 TV55,16.47,Schubart
2008 TV63,15.9,Background
2008 TX136,15.95,Schubart
2008 TQ145,16.37,Schubart
2008 UW19,16.2,Francette
2008 UE33,16.27,Background
2008 UZ57,15.61,Background
2008 UF59,15.53,Background
2008 UY99,15.93,Background
2008 UW176,16.04,Schubart
2008 WD23,15.76,Schubart
2008 WE28,16.0,Potomac
2009 WH123,15.96,Background
2009 WP180,15.97,Schubart
2009 WW202,16.18,Background
2009 WB226,15.91,Schubart
2009 WU251,15.47,Potomac
2009 WP255,15.75,Background
2009 WH261,15.12,Potomac
2010 AK18,15.78,Guinevere
2011 BY40,15.64,Schubart
2011 BU70,16.0,Background
2011 CZ33,15.72,Background
2011 CQ91,15.54,Schubart
2011 EE21,15.49,Schubart
2013 CR53,15.32,Schubart
2014 HF47,15.24,Hilda
2014 HJ110,15.8,Hilda
2015 KE51,15.06,Schubart
2015 PJ41,15.23,Background
2015 RY107,15.7,Potomac
2007 RH239,15.74,Potomac
2007 TZ27,15.39,Hilda
2008 TZ21,15.99,Background
2008 TT173,16.22,Schubart
2008 UE180,15.93,Background
2008 WS45,15.98,Background
2008 WC46,15.87,Background
2008 WE82,16.12,Background
2008 XY5,15.81,Hilda
2009 AG13,16.25,Background
2010 AF80,15.75,Hilda
2014 NP55,15.16,Potomac
2015 OU40,15.37,Potomac
2015 RC63,15.96,Background
2015 TA303,15.91,Background
2016 SO13,15.18,Background
2005 UH523,15.86,Background
2007 RW255,15.77,Potomac
2007 VQ282,16.37,Background
2007 WV23,16.2,Schubart
2007 XT10,15.79,Background
2010 EN84,15.55,Hilda
2011 KC32,15.47,Hilda
2014 OK2,15.72,Background
2014 OR120,16.38,Background
2014 OX206,15.95,Schubart
2014 WE48,15.37,Schubart
2014 WV140,15.54,Hilda
2015 UH55,16.44,Schubart
2016 XW14,15.55,Potomac
2001 RJ16,15.6,Background
2002 OX32,15.97,Hilda
2002 RM44,15.6,Background
2002 RS189,15.24,Hilda
2002 RC263,16.2,Background
2003 UD97,15.38,Hilda
2006 BF186,15.76,Background
2009 QH40,15.67,Schubart
2010 JE41,15.7,Potomac
2011 OB6,16.24,Hilda
2011 PA15,15.82,Francette
2011 QL34,15.76,Hilda
2011 QE62,15.14,Hilda
2011 SD151,15.91,Schubart
2011 UW251,15.9,Background
2012 UC169,15.72,Hilda
2012 VQ10,16.26,Background
2012 VN17,15.99,Schubart
2012 VD34,15.22,Potomac
2012 WG16,15.65,Schubart
2012 XV25,16.61,Schubart
2013 YS12,16.45,Schubart
2014 BW26,16.15,Schubart
2015 BX118,15.92,Background
2015 KS45,15.75,Schubart
2016 FK2,16.04,Background
2016 NP24,15.0,Hilda
2016 NY43,15.97,Schubart
2002 VX14,15.99,Background
2007 RB150,15.16,Background
2007 TW299,16.5,Schubart
2008 CT205,15.92,Hilda
2008 FY63,15.91,Schubart
2008 SH185,15.71,Hilda
2016 CL80,15.29,Hilda
2002 RK223,15.44,Background
2003 SA181,15.58,Background
2012 VE111,16.31,Schubart
2001 QC237,15.45,Background
2002 RQ265,15.91,Hilda
2002 TF378,15.86,Schubart
2002 UG78,15.72,Schubart
2008 FV131,15.77,Background
2009 PC10,15.89,Hilda
2009 PZ19,16.01,Background
2009 QC41,15.86,Background
2009 SN54,15.85,Background
2010 NE50,15.73,Background
2010 OX26,16.09,Schubart
2010 UN83,15.27,Schubart
2010 VM83,15.51,Background
2011 AV43,15.92,Background
2013 CM155,15.91,Schubart
2013 EA30,15.16,Hilda
2015 AQ272,15.25,Background
2015 HG95,15.69,Schubart
2015 HE118,15.44,Hilda
2015 KB28,15.89,Potomac
2016 QA10,15.05,Hilda
2016 QQ36,15.24,Potomac
2002 WL32,15.15,Background
2007 EN224,15.3,Background
2007 HL22,15.77,Schubart
2008 TV107,16.02,Potomac
2009 TP49,15.27,Hilda
2009 VX73,15.84,Background
2011 AF33,15.95,Schubart
2012 BN10,15.96,Potomac
2012 BY63,15.99,Schubart
2013 EO66,15.2,Hilda
2013 HV104,15.88,Hilda
2014 DJ123,15.78,Schubart
2014 HB187,15.62,Hilda
2015 KS130,15.18,Hilda
2015 MJ99,15.59,Background
2016 LO52,15.38,Background
2016 RC32,15.61,Background
2017 QJ10,15.41,Potomac
2017 QG16,15.29,Background
2001 VW77,16.24,Schubart
2004 BZ163,14.98,Hilda
2006 FV55,15.72,Background
2007 JL46,15.66,Francette
2007 SQ24,15.9,Schubart
2008 RC107,15.86,Background
2009 SF313,16.07,Background
2009 VY10,16.15,Schubart
2009 WL205,16.15,Guinevere
2011 AQ38,16.41,Schubart
2011 BF88,16.15,Schubart
2011 BQ103,16.11,Background
2013 DM4,14.94,Background
2013 MP1,15.6,Background
2015 HK20,15.06,Background
2015 PH80,16.05,Schubart
2016 LK29,16.84,Hilda
2002 BT32,15.49,Background
2002 RR36,15.41,Hilda
2004 EH116,16.0,Schubart
2007 RP277,14.87,Background
2008 TE78,16.43,Schubart
2008 TH161,16.05,Schubart
2008 TC165,15.74,Background
2009 YN7,16.14,Background
2011 BG103,15.98,Background
2011 UK336,16.27,Schubart
2012 BT155,15.96,Background
2013 EX51,15.59,Hilda
2014 UZ62,15.84,Background
2016 TU43,16.93,Background
2016 TQ79,15.93,Potomac
2016 UG10,16.11,Background
2016 US69,16.17,Background
2016 UW71,16.21,Schubart
2016 WN31,15.31,Hilda
2016 XF5,15.81,Background
2007 VV337,15.68,Background
2008 SV267,16.15,Schubart
2008 UB151,16.13,Schubart
2008 UC259,16.05,Background
2008 UQ342,15.95,Schubart
2008 VQ28,15.99,Background
2008 VX43,16.35,Hilda
2010 AH61,15.17,Background
2015 TS1,16.13,Schubart
2016 UQ2,15.79,Background
2004 KO19,15.28,Potomac
2005 UZ262,15.71,Hilda
2008 SJ211,16.34,Background
2008 UC108,15.82,Hilda
2008 UT143,16.2,Schubart
2012 PK42,15.73,Background
2012 QM52,15.28,Schubart
2013 RU65,15.62,Schubart
2013 TX33,15.5,Background
2014 PL2,15.95,Schubart
2015 RZ106,16.08,Background
2016 YR11,16.25,Schubart
2002 GB192,15.43,Schubart
2009 DZ144,15.61,Background
2010 GW34,16.12,Background
2015 DO230,15.74,Potomac
2017 DB40,15.83,Schubart
2008 AV138,15.73,Background
2017 FX24,15.65,Hilda
1994 RE3,15.85,Background
2001 QQ145,15.48,Schubart
2002 QU97,16.48,Background
2002 QA112,16.19,Hilda
2002 QJ131,15.89,Schubart
2002 RM,15.75,Schubart
2002 RH160,15.84,Background
2002 RE254,16.08,Hilda
2003 TB29,16.47,Schubart
2003 UK224,16.27,Potomac
2004 BQ130,15.34,Hilda
2004 CS16,15.7,Hilda
2005 QK20,15.67,Francette
2005 QY100,15.76,Background
2005 RB16,16.24,Schubart
2006 FW55,15.39,Background
2006 RE18,15.15,Potomac
2006 TU102,15.64,Background
2006 UW89,15.39,Background
2006 UW362,16.0,Schubart
2007 TP43,15.51,Background
2007 TK280,15.68,Hilda
2008 TR191,15.93,Schubart
2008 UP133,16.1,Schubart
2009 UF159,15.64,Schubart
2009 WN87,15.69,Hilda
2010 AQ77,15.53,Francette
2010 GO91,15.86,Background
2010 LC88,16.05,Schubart
2010 NK70,16.1,Schubart
2010 OM20,16.19,Background
2010 OL30,15.81,Background
2010 OB79,15.93,Schubart
2010 RR125,16.23,Background
2010 TD42,16.16,Schubart
2010 UR98,15.6,Background
2010 VX77,15.67,Background
2010 VC167,15.73,Background
2010 VA180,15.72,Background
2010 VY202,16.01,Hilda
2010 VN225,15.74,Background
2011 AP1,16.01,Schubart
2011 AL8,16.03,Hilda
2011 BN10,15.59,Hilda
2011 BV62,15.98,Background
2011 BH90,16.57,Schubart
2011 BR105,16.57,Background
2011 BY163,16.2,Schubart
2011 CY31,16.19,Schubart
2011 CW53,16.47,Francette
2011 DN20,16.26,Background
2011 UV267,15.59,Schubart
2012 FK18,16.16,Schubart
2012 FO49,16.2,Schubart
2012 GB26,16.02,Schubart
2012 JM67,15.55,Background
2013 CV174,15.67,Schubart
2013 QA24,15.69,Background
2013 SU23,15.51,Hilda
2014 KU62,15.72,Schubart
2014 OM208,15.87,Schubart
2014 UV94,15.57,Background
2015 HL166,15.27,Background
2015 KP163,15.58,Background
2015 XT132,15.65,Background
2016 SF28,15.57,Hilda
2016 TZ72,15.39,Background
2016 UO107,16.21,Schubart
2017 NA2,16.43,Schubart
2017 ON20,15.84,Francette
2017 RL32,15.62,Background
2017 TL7,15.92,Background
2017 XN40,15.54,Background
2011 ON59,15.36,Background
2011 QE37,16.11,Potomac
2011 QE98,15.96,Hilda
2011 RP4,16.32,Schubart
2011 SW36,16.02,Schubart
2011 SS57,16.45,Background
2011 SF258,15.89,Schubart
2011 TA11,16.02,Schubart
2011 UA41,16.18,Schubart
2011 UF47,15.99,Background
2011 UC51,16.26,Schubart
2011 UO64,15.81,Hilda
2011 UR146,15.76,Background
2011 UF150,16.38,Background
2011 UY335,15.5,Hilda
2011 UB405,16.32,Background
2011 WP102,16.45,Schubart
2012 XC153,15.83,Hilda
2013 BW43,15.98,Hilda
2013 CO57,14.66,Potomac
2013 CQ191,15.25,Background
2013 GY99,15.17,Background
2014 EQ74,15.79,Background
2014 HU131,15.85,Schubart
2014 HX190,15.78,Hilda
2014 KN48,15.41,Background
2011 AW89,15.86,Potomac
2011 AP90,16.03,Background
2011 BN63,15.83,Background
2011 CU19,15.85,Background
2011 HB31,15.48,Potomac
2011 HK69,15.41,Schubart
2011 HO86,15.43,Hilda
2010 DR103,15.01,Background
2010 RC155,15.39,Schubart
2010 UF66,15.48,Schubart
2010 VU230,15.18,Background
2010 VN241,15.41,Hilda
2010 WK34,14.93,Potomac
2010 ER122,15.35,Background
2010 UN55,15.98,Background
2010 VM119,15.73,Background
2011 GC98,16.24,Hilda
2011 HW88,15.46,Hilda
2011 LV22,16.26,Background
2012 BP46,15.71,Schubart
2012 CE21,15.96,Background
2012 VG38,16.14,Hilda
2013 EQ66,16.08,Schubart
2013 FH22,16.01,Background
2013 GL25,15.4,Background
2013 GK134,16.09,Background
2013 HP137,15.91,Schubart
2010 XV62,15.65,Francette
2010 XR99,16.32,Background
2011 BT137,16.1,Schubart
2011 HG15,15.7,Background
2012 BO174,16.12,Schubart
2012 CO6,15.33,Background
2012 CF14,16.1,Background
2012 DY92,16.01,Schubart
2012 DD117,15.94,Schubart
2012 FP2,15.88,Background
2012 FM29,15.73,Schubart
2013 EF167,15.76,Background
2013 GA32,15.78,Schubart
2013 GL59,16.08,Potomac
2013 HD107,16.2,Schubart
2013 HH148,15.79,Background
2013 NP19,15.72,Schubart
2013 VS62,16.19,Hilda
2014 EY36,15.12,Hilda
2014 HL183,15.85,Schubart
2014 JJ118,15.79,Potomac
2014 UR104,15.96,Background
2014 UN193,16.05,Schubart
2015 BC416,15.97,Background
2015 PV94,15.5,Schubart
2015 PO184,15.96,Background
2016 GU6,15.98,Potomac
2017 XC48,15.44,Schubart
2017 XP50,16.37,Schubart
2018 PF32,16.36,Schubart
2018 RB33,16.17,Hilda
2019 AM25,15.15,Background
2000 SD379,15.7,Hilda
2004 EB118,16.23,Schubart
2005 JS129,16.01,Schubart
2005 JM190,15.89,Background
2005 QC32,15.78,Background
2005 QB99,15.97,Schubart
2005 QK146,14.86,Potomac
2005 SJ8,15.73,Background
2005 TW125,15.67,Schubart
2005 XW93,15.73,Schubart
2005 YH233,16.32,Schubart
2006 QE48,15.31,Schubart
2006 QQ201,15.93,Background
2006 SX70,15.79,Background
2006 SB322,15.82,Schubart
2006 UK197,15.37,Hilda
2006 UA203,15.46,Hilda
2006 UV382,15.86,Hilda
2006 VR148,15.44,Hilda
2006 WQ225,15.67,Hilda
2007 RX84,15.81,Schubart
2007 TE316,15.98,Background
2007 VZ223,15.92,Background
2007 VM346,15.6,Hilda
2007 YK75,15.55,Background
2009 QC64,15.73,Background
2009 SK385,15.93,Schubart
2010 CC37,15.54,Background
2010 FU142,15.61,Schubart
2010 NN128,15.73,Hilda
2010 XS98,16.09,Background
2010 XD107,15.98,Potomac
2011 CR2,15.72,Hilda
2011 GP92,16.34,Potomac
Doyrantsi,15.61,Background
2012 DD112,15.92,Potomac
2012 LQ11,15.56,Background
2012 PC46,15.31,Background
2013 PP11,15.71,Hilda
2013 QW18,15.87,Background
2013 QH30,15.63,Background
2014 OH213,16.02,Schubart
2014 QX442,15.7,Background
2014 SO140,15.49,Schubart
2014 SJ234,16.09,Schubart
2014 TO7,16.18,Schubart
2014 UM80,16.15,Schubart
2014 UU103,15.45,Hilda
2014 UF132,16.21,Hilda
2014 UN183,15.66,Potomac
2014 UL184,15.61,Hilda
2014 UL214,15.7,Potomac
2014 WC86,16.61,Schubart
2014 WE396,15.3,Background
2015 AM,15.76,Hilda
2015 CY14,16.25,Background
2015 UF7,15.97,Francette
2015 XF292,16.22,Background
2016 LZ26,15.87,Background
2017 OM10,15.89,Background
2005 QB189,14.91,Potomac
2005 QR200,16.05,Background
2005 QW204,15.79,Guinevere
2005 RD57,15.97,Schubart
2005 SQ115,16.06,Potomac
2005 SF282,15.71,Hilda
2005 TD85,15.73,Schubart
2005 TZ109,16.19,Background
2005 TE147,15.7,Schubart
2005 TJ197,15.4,Background
2005 WJ212,15.93,Background
2006 SQ250,16.49,Schubart
2006 SV326,16.34,Schubart
2006 UB6,15.62,Background
2006 UA86,15.56,Background
2006 WX74,15.75,Background
2006 WG202,15.77,Potomac
2006 WE221,15.78,Hilda
2007 DT16,15.66,Background
2008 FM140,16.02,Background
2009 BB199,15.58,Hilda
2010 GZ202,15.64,Background
2013 SL75,15.6,Schubart
2013 TU116,15.93,Guinevere
2014 WS228,15.31,Hilda
2015 AW49,15.31,Potomac
2015 AS57,15.68,Guinevere
2015 BZ95,16.12,Background
2015 BT235,15.07,Hilda
2015 CA16,15.94,Background
2000 CT150,16.15,Schubart
2001 SO189,15.81,Schubart
2002 FL19,16.17,Background
2002 RC198,15.7,Schubart
2003 QD2,14.93,Hilda
2004 FV173,16.57,Background
2004 RJ357,14.98,Hilda
2005 GB152,15.88,Hilda
2005 QY208,16.28,Schubart
2005 SC129,15.68,Background
2005 SU154,16.0,Schubart
2005 TO87,16.8,Background
2005 TD150,15.97,Schubart
2005 TY209,15.84,Background
2005 TE210,16.12,Background
2005 TE215,16.51,Background
2005 TB216,15.49,Background
2005 TJ218,15.76,Background
2005 UK247,15.54,Hilda
2005 UD341,15.16,Background
2005 UL532,16.08,Background
2005 UG539,15.54,Background
2005 US547,15.64,Hilda
2005 VC128,16.17,Schubart
2005 VD131,16.01,Hilda
2007 DH114,15.73,Background
2008 BE57,15.14,Background
2008 DV34,15.57,Potomac
2008 FW78,16.36,Background
2008 FB91,16.14,Schubart
2008 UU180,16.36,Schubart
2008 XX10,15.54,Background
2009 DJ135,15.86,Background
2009 FH84,16.28,Schubart
2009 HR113,16.12,Background
2009 HW116,15.89,Schubart
2009 PG22,15.89,Schubart
2009 SM154,15.89,Schubart
2010 GQ203,16.23,Background
2010 RX61,15.51,Background
2011 KC41,16.0,Schubart
2011 KV41,16.15,Schubart
2011 LF33,15.68,Background
2011 LF34,15.84,Background
2012 EL14,15.82,Background
2012 PQ55,15.55,Hilda
2012 UB142,16.11,Hilda
2012 VC122,15.61,Hilda
2012 VB129,15.8,Schubart
2013 TP41,16.31,Background
2013 TT182,15.96,Background
2013 UL30,16.19,Schubart
2014 WW579,15.63,Background
2014 XR1,15.33,Potomac
2015 AH32,16.13,Background
2015 CW55,15.73,Hilda
2015 FE270,15.99,Schubart
2015 HN96,16.1,Schubart
2015 KN7,15.91,Potomac
2015 PD274,15.87,Hilda
2016 AA196,15.86,Schubart
2016 BR52,15.91,Background
2016 CB166,15.92,Background
2016 ED127,16.0,Schubart
2016 GQ207,15.48,Potomac
2017 BP160,15.8,Schubart
2017 EN30,15.9,Potomac
2017 HG12,15.77,Background
2017 HV18,15.74,Potomac
2017 KB8,15.53,Hilda
2017 OJ3,16.01,Schubart
2018 FL23,16.34,Schubart
2000 AU259,15.99,Schubart
2003 SO450,16.22,Hilda
2003 UA326,15.02,Background
2003 UU327,15.92,Background
2004 RD366,16.05,Background
2004 SW64,16.22,Schubart
2004 TN371,15.66,Background
2004 VJ73,15.62,Potomac
2005 SX299,16.02,Hilda
2005 TH198,16.17,Background
2005 TQ210,16.41,Background
2005 TR214,16.22,Background
2005 UT290,15.86,Hilda
2005 UZ512,15.98,Background
2005 UR520,15.68,Potomac
2005 UK532,16.41,Schubart
2005 VN137,15.93,Schubart
2005 VU141,16.32,Schubart
2005 WZ35,15.85,Potomac
2005 WF209,16.78,Schubart
2005 WR211,16.31,Schubart
2005 XU82,16.09,Schubart
2005 XP119,15.24,Schubart
2005 XR119,16.13,Schubart
2005 XB134,16.41,Schubart
2005 YB78,16.61,Background
2005 YD136,16.3,Schubart
2005 YX162,15.75,Background
2005 YT184,16.41,Background
2005 YS295,16.41,Schubart
2006 AW115,16.0,Background
2006 BW29,15.62,Hilda
2007 CR49,16.2,Background
2007 CK65,16.25,Hilda
2007 DV10,15.94,Potomac
2007 ES97,16.07,Hilda
2007 EU225,16.64,Background
2007 EJ237,16.03,Francette
2007 EU240,15.84,Background
2007 FJ59,16.26,Hilda
1995 SC48,16.31,Schubart
2002 OP29,15.55,Background
2002 QK87,15.84,Schubart
2002 RA209,16.28,Background
2005 NU89,16.62,Background
2005 NA95,16.32,Background
2005 RX19,15.88,Background
2006 QD7,15.8,Background
2006 RP45,16.95,Background
2007 RB63,16.09,Schubart
2008 CF132,16.0,Schubart
2010 BC106,15.96,Schubart
2010 MB115,15.37,Schubart
2001 UO236,16.43,Schubart
2003 NQ13,15.41,Background
2003 UN32,16.4,Schubart
2004 DX69,16.24,Hilda
2004 YV39,15.9,Hilda
2005 CO82,15.44,Schubart
2005 GW239,15.74,Background
2006 RL41,15.63,Schubart
2006 SL459,16.54,Schubart
2006 UO268,16.84,Schubart
2002 TK247,15.98,Background
2004 XT75,15.25,Hilda
2006 FQ56,15.51,Schubart
2008 SX24,15.4,Schubart
2009 SN133,16.14,Background
2010 WD54,15.73,Hilda
2014 FZ81,15.67,Schubart
2014 HR175,15.98,Hilda
2015 FF355,15.81,Schubart
2017 OA54,15.6,Hilda
2017 PF16,15.89,Schubart
2020 BB68,15.57,Potomac
2000 QP233,16.17,Schubart
2000 XA56,15.77,Francette
2001 SP358,15.11,Background
2001 TG267,15.83,Background
2003 BA95,16.08,Background
2003 SC28,16.47,Hilda
2003 SH202,16.27,Schubart
2003 SA450,16.18,Schubart
2003 SA451,16.22,Schubart
2003 UC194,15.76,Francette
2003 UG344,16.1,Schubart
2003 UA382,16.63,Guinevere
2003 WX38,16.08,Francette
2004 DP81,16.1,Schubart
2004 FB176,16.02,Background
2004 FR176,15.89,Schubart
2004 VD104,16.43,Schubart
2004 XQ52,16.16,Schubart
2006 DM98,16.19,Background
2006 KT53,15.82,Background
2007 PS51,16.45,Hilda
2008 UM294,16.15,Schubart
2009 UF170,15.76,Background
2009 WJ49,16.48,Background
2012 BP36,15.95,Schubart
2014 HE143,16.28,Background
2015 QH19,16.03,Schubart
2015 RT126,16.22,Background
2016 UG78,16.15,Background
2001 UM234,15.29,Schubart
2002 UX34,15.04,Hilda
2005 ER333,15.35,Schubart
2005 JO114,15.34,Potomac
2006 KA111,15.54,Schubart
2007 MJ22,15.56,Hilda
2007 UW26,15.79,Schubart
2008 AV73,15.04,Hilda
2008 HF56,15.78,Background
2008 RT147,15.96,Schubart
2008 RR174,15.48,Hilda
2008 SD235,15.92,Background
2008 TL176,15.69,Schubart
2008 TC219,15.45,Hilda
2008 TB227,15.96,Background
2008 VA37,15.45,Background
2008 XP18,16.12,Schubart
2009 BH192,15.87,Background
2009 UG162,15.3,Background
2010 HT120,15.67,Hilda
2010 JZ191,15.29,Background
2014 OO22,15.55,Potomac
2014 OG371,15.63,Background
2014 WA376,15.39,Background
2014 WP602,15.88,Background
2015 AQ30,15.41,Background
2015 AK248,15.56,Schubart
2015 HE181,14.85,Potomac
2015 TK47,15.8,Background
2016 EE45,15.47,Potomac
2016 GV77,15.61,Background
1999 TY309,16.49,Schubart
2000 WP198,16.23,Schubart
2002 DW21,15.49,Background
2003 SO79,14.84,Hilda
2004 RY362,16.31,Background
2005 NC95,15.96,Background
2005 QG126,15.71,Background
2005 VG36,15.88,Background
2005 XE96,15.8,Background
2005 XF131,15.66,Potomac
2006 QM141,15.59,Hilda
2006 RD75,15.7,Background
2006 SQ1,15.64,Background
2006 SL202,16.12,Schubart
2006 SM265,15.86,Francette
2006 SF302,16.21,Background
2006 UD29,16.67,Schubart
2006 UK149,15.88,Schubart
2006 UA167,16.07,Schubart
2006 UV263,16.46,Schubart
