idhere,H_mag
1999 TX215,14.5
1999 VP225,14.6
2000 EO8,14.37
2000 QD218,14.3
2000 US23,14.63
2001 DN47,14.17
1999 TJ166,14.23
1999 TV233,14.96
1999 TM259,14.61
1999 UU33,14.54
1999 VE169,14.43
1999 VQ212,14.71
1999 XF6,14.45
2001 UF205,14.32
2002 CZ21,14.66
2002 CT267,14.65
2002 CV269,14.61
2005 QW84,14.36
2006 VX28,13.77
1998 RJ63,14.52
1999 TZ177,15.22
1999 VG104,14.4
1999 XN122,13.79
2004 HS58,14.44
2005 MX38,13.93
2005 MC54,14.43
2006 PG17,14.39
2006 SM280,14.51
2006 WG80,14.71
Ingola,15.51
1999 XZ163,13.73
2000 WP173,14.49
2001 FG154,14.34
2002 EO133,14.4
2002 FP21,13.82
2002 GX137,14.22
2002 JY91,14.95
2002 KM4,14.7
2004 RH157,13.83
2004 SE2,14.18
2005 OM7,14.34
2005 OR7,13.99
2005 PR19,14.62
2005 SP165,14.82
2005 SM201,15.13
2006 QV93,15.27
2006 WE99,14.46
2000 EJ73,15.11
2001 HG21,13.98
2002 JP10,13.95
2004 NX10,13.85
2005 RX7,14.62
2005 UC144,15.03
2005 UR265,14.71
2005 VZ17,14.72
1992 DJ6,14.42
1993 FU53,14.21
2005 UJ288,15.01
2005 UD359,14.2
2005 XN8,15.31
2006 WX149,15.52
2006 XZ17,15.32
2007 CT25,15.28
2008 CC70,13.98
1997 UN5,14.62
1999 TJ169,14.59
2000 ET15,15.37
2000 GR27,14.69
2000 JK68,14.96
2000 WA21,14.65
2001 DS78,15.13
2002 RN139,13.65
2003 SD25,14.18
2004 RB81,14.17
2004 RD235,14.3
2004 TG66,14.47
2004 TF96,15.19
2004 TH147,15.07
2005 TN28,14.66
2005 UF66,14.45
2005 UR128,15.21
Gobbihilda,14.88
2005 WG91,14.95
2005 WZ101,14.31
2005 WY145,15.48
2005 WK156,14.39
2005 YH76,14.29
2008 CJ7,14.47
Sunyisui,14.53
2000 GU150,14.61
2002 SK40,14.6
2003 QW64,14.3
2003 TK15,14.54
2004 TY120,14.71
2004 TT224,15.5
2004 TW232,15.14
2004 VO7,14.33
2005 TQ193,15.65
2005 UJ361,15.17
2005 VR114,15.44
2006 BW232,14.95
2007 DB3,14.73
2002 NW37,14.26
2003 SJ61,14.66
2003 SV83,14.71
2003 SQ319,14.44
2003 WW1,14.5
2006 AX21,14.46
2006 AY75,15.05
2001 UO165,13.88
2001 TQ85,14.77
2001 TL229,14.01
2004 CB32,14.78
2007 HH90,14.24
2000 ST33,14.69
2000 SA75,14.14
2000 SQ174,14.3
2000 SU236,14.68
2000 SO239,14.84
2000 SD285,13.56
2000 SY304,14.07
2000 SS367,14.28
2000 TP35,15.14
2000 US24,14.33
2000 UX34,14.46
2000 WY13,14.74
2000 WW146,13.84
2000 YL23,14.84
2001 TG99,14.19
2001 VK3,14.96
2001 VF24,14.46
2001 WJ85,15.28
2001 XR,14.82
2001 XE162,14.68
2001 XR257,14.33
2001 YH20,14.98
2001 YN20,14.95
2001 YD21,14.79
2002 AF36,14.39
2002 AL134,14.74
2002 BZ6,14.54
2002 CR306,14.53
2004 BL2,14.64
2004 EM19,14.73
2004 EW71,14.66
2004 FB98,14.3
2004 FL122,14.22
2005 CU78,14.94
2006 HJ78,14.9
2007 RR162,14.65
2007 TU73,14.8
2000 SO182,14.03
2000 UF108,15.17
2000 VU21,14.83
2000 WT140,14.85
2002 AT47,15.38
2004 EA16,14.41
2005 EM18,14.21
2006 DX188,14.54
1999 TK28,15.0
1999 TT121,15.1
1999 TD239,14.73
1999 VG135,15.35
2000 SE249,14.89
2000 WK138,15.03
2000 WC140,14.95
2000 WQ144,14.76
2005 MD8,14.82
2006 SQ98,14.92
2007 RW130,15.17
2007 RS155,15.41
2007 TQ331,15.12
1999 RP104,14.34
1999 TZ227,15.5
1999 VQ181,15.59
2005 LL11,14.7
