idhere,H_mag
2007 UE9,15.61
2007 UM132,15.22
2007 UZ141,15.75
2008 SL59,15.63
2010 CB83,15.58
2012 DL88,15.55
2006 QL69,15.57
2006 QK82,15.44
2006 RU57,15.77
2006 UY2,15.22
2007 RG111,15.85
2007 RM312,15.37
2007 TN401,15.85
2007 TH437,15.72
2006 SU301,15.26
2006 UZ123,15.81
2007 XH30,15.56
1998 TO24,15.79
2001 AQ49,15.66
2005 NR67,15.71
2006 SH87,16.2
2006 SA407,16.09
2006 UY50,15.86
2006 WC152,15.81
2014 HL41,15.11
2005 NH14,15.7
2005 SZ187,15.82
2006 TD31,15.91
2006 UQ35,16.02
2006 VO16,15.94
2009 ER30,15.41
2013 PS14,15.98
2013 TY51,15.55
2014 SH313,15.54
2005 WP28,15.93
2008 DH14,15.9
2008 ER161,15.48
2005 UD36,16.26
2005 UT126,15.97
2005 UK406,16.24
2005 WY198,16.07
2012 TG21,15.85
2005 UC514,16.15
2005 WL78,16.27
2007 BA76,15.76
2007 DJ82,15.88
2008 HL54,15.55
2009 SW145,15.36
2013 YV92,16.05
2002 WU26,15.4
2009 SQ181,15.82
2010 ME115,15.15
2010 PB70,15.33
2008 PZ19,15.77
2014 DK89,15.25
2014 HF25,15.72
2007 RX64,15.65
2008 WR138,15.91
2012 FC29,15.44
2014 GM28,15.67
2014 HX140,16.01
2007 RP37,15.67
2007 RD105,15.7
2007 RT262,15.7
2007 TJ209,15.92
2007 WZ24,15.97
2008 SE268,15.59
2008 UE210,15.9
2008 UD286,15.91
2009 WC169,15.86
2012 BH112,15.75
1999 TE82,16.08
2007 RA195,15.78
2007 RQ221,15.89
2007 TV373,15.41
2008 UH167,15.96
2009 AH8,15.92
2007 TF232,16.1
2007 TM235,16.19
2008 YW112,15.5
2006 QA125,16.11
2007 TL234,16.17
2014 PF58,15.76
2014 RW21,15.95
2007 TV107,16.23
2010 JT117,15.91
2014 QU351,15.51
2008 BO53,15.57
2008 EY70,16.3
2014 WM133,15.65
2015 BW165,15.73
2002 TN34,15.28
2015 HO90,15.62
2015 TH216,16.07
2001 YT31,15.73
2006 GN19,15.7
2008 OP12,15.59
2008 SA188,15.9
2008 TU54,16.26
2008 TX136,15.95
2008 UW176,16.04
2008 WD23,15.76
2009 WP180,15.97
2009 WB226,15.91
2011 BY40,15.64
2011 CQ91,15.54
2011 EE21,15.49
2013 CR53,15.32
2015 KE51,15.06
2008 TT173,16.22
2007 WV23,16.2
2014 OX206,15.95
2014 WE48,15.37
2009 QH40,15.67
2011 SD151,15.91
2012 VN17,15.99
2012 WG16,15.65
2014 BW26,16.15
2015 KS45,15.75
2016 NY43,15.97
2008 FY63,15.91
2002 TF378,15.86
2002 UG78,15.72
2010 OX26,16.09
2010 UN83,15.27
2013 CM155,15.91
2015 HG95,15.69
2007 HL22,15.77
2011 AF33,15.95
2012 BY63,15.99
2014 DJ123,15.78
2001 VW77,16.24
2007 SQ24,15.9
2009 VY10,16.15
2011 BF88,16.15
2015 PH80,16.05
2004 EH116,16.0
2008 TH161,16.05
2011 UK336,16.27
2016 UW71,16.21
2008 SV267,16.15
2008 UB151,16.13
2008 UQ342,15.95
2015 TS1,16.13
2008 UT143,16.2
2012 QM52,15.28
2013 RU65,15.62
2014 PL2,15.95
2016 YR11,16.25
2002 GB192,15.43
2017 DB40,15.83
2001 QQ145,15.48
2002 QJ131,15.89
2002 RM,15.75
2005 RB16,16.24
2006 UW362,16.0
2008 TR191,15.93
2008 UP133,16.1
2009 UF159,15.64
2010 LC88,16.05
2010 NK70,16.1
2010 OB79,15.93
2010 TD42,16.16
2011 AP1,16.01
2011 BY163,16.2
2011 CY31,16.19
2011 UV267,15.59
2012 FK18,16.16
2012 FO49,16.2
2012 GB26,16.02
2013 CV174,15.67
2014 KU62,15.72
2014 OM208,15.87
2016 UO107,16.21
2011 SW36,16.02
2011 SF258,15.89
2011 TA11,16.02
2011 UA41,16.18
2011 UC51,16.26
2014 HU131,15.85
2011 HK69,15.41
2010 RC155,15.39
2010 UF66,15.48
2012 BP46,15.71
2013 EQ66,16.08
2013 HP137,15.91
2011 BT137,16.1
2012 BO174,16.12
2012 DY92,16.01
2012 DD117,15.94
2012 FM29,15.73
2013 GA32,15.78
2013 HD107,16.2
2013 NP19,15.72
2014 HL183,15.85
2014 UN193,16.05
2015 PV94,15.5
2017 XC48,15.44
2004 EB118,16.23
2005 JS129,16.01
2005 QB99,15.97
2005 TW125,15.67
2005 XW93,15.73
2006 QE48,15.31
2006 SB322,15.82
2007 RX84,15.81
2009 SK385,15.93
2010 FU142,15.61
2014 OH213,16.02
2014 SO140,15.49
2014 SJ234,16.09
2014 TO7,16.18
2014 UM80,16.15
2005 RD57,15.97
2005 TD85,15.73
2005 TE147,15.7
2013 SL75,15.6
2000 CT150,16.15
2001 SO189,15.81
2002 RC198,15.7
2005 QY208,16.28
2005 SU154,16.0
2005 TD150,15.97
2005 VC128,16.17
2008 FB91,16.14
2009 FH84,16.28
2009 HW116,15.89
2009 PG22,15.89
2009 SM154,15.89
2011 KC41,16.0
2011 KV41,16.15
2012 VB129,15.8
2013 UL30,16.19
2015 FE270,15.99
2015 HN96,16.1
2016 AA196,15.86
2016 ED127,16.0
2017 BP160,15.8
2017 OJ3,16.01
2000 AU259,15.99
2004 SW64,16.22
2005 VN137,15.93
2005 XU82,16.09
2005 XP119,15.24
2005 XR119,16.13
2005 YD136,16.3
2002 QK87,15.84
2007 RB63,16.09
2008 CF132,16.0
2010 BC106,15.96
2010 MB115,15.37
2005 CO82,15.44
2006 RL41,15.63
2006 FQ56,15.51
2008 SX24,15.4
2014 FZ81,15.67
2015 FF355,15.81
2017 PF16,15.89
2000 QP233,16.17
2003 SH202,16.27
2003 SA450,16.18
2003 SA451,16.22
2003 UG344,16.1
2004 DP81,16.1
2004 FR176,15.89
2004 XQ52,16.16
2008 UM294,16.15
2012 BP36,15.95
2015 QH19,16.03
2001 UM234,15.29
2005 ER333,15.35
2006 KA111,15.54
2007 UW26,15.79
2008 RT147,15.96
2008 TL176,15.69
2008 XP18,16.12
2015 AK248,15.56
2000 WP198,16.23
2006 SL202,16.12
2006 UK149,15.88
2006 UA167,16.07
2008 AA145,15.89
2008 AX146,16.06
2008 CU217,15.32
2008 XG19,16.02
2009 CY66,15.69
2009 DH107,15.85
2011 UO335,16.25
2014 QV206,16.26
2014 SX311,15.91
2014 UE82,16.25
2014 WL24,16.12
2014 WJ139,16.16
2015 TE146,16.21
2016 AR77,16.06
2016 AV349,16.17
2016 BZ81,15.97
2016 CZ151,16.2
2016 CC266,16.1
2016 CE326,16.18
2017 FQ77,15.48
2019 KD39,16.27
2005 QP142,15.59
2006 VJ105,15.97
2008 DM96,16.21
2011 KC39,15.98
2014 XV37,15.87
2015 CX9,16.02
2016 CD54,15.87
2016 ET133,15.49
2017 FP159,15.95
2002 NX77,16.18
2005 TV22,16.21
2005 XF98,16.23
2006 GL33,15.69
2008 CT245,16.18
2009 HP115,16.25
2011 UA106,16.24
2013 SE72,16.09
2014 JM44,15.86
2015 AX64,15.85
2015 AM110,15.97
2015 AS138,16.06
2015 BQ225,16.04
2015 BP352,16.22
2015 BW353,15.83
2015 BE419,16.16
2015 CT50,16.09
2015 CQ62,16.24
2015 DL82,15.95
2015 FD208,16.16
2016 GM60,15.99
2017 BM58,15.71
2020 RN117,16.0
1994 TZ5,15.97
2000 SC377,16.05
2001 MD32,15.93
2001 SV238,16.15
2001 UD209,15.76
2001 XU132,15.76
2002 CK320,16.15
2002 ER169,15.56
2002 FO43,15.88
2002 JS153,16.25
2002 QC158,15.43
2002 RV265,15.9
2002 UU73,15.66
2002 VM129,16.22
2002 XQ121,16.24
2003 HC64,16.15
2003 SZ386,15.91
2003 SW428,16.15
2003 SZ450,16.23
2003 TY62,15.55
2003 UO350,16.2
2003 WU58,15.68
2004 CO133,15.96
2004 DB58,15.63
2004 VR3,15.93
2004 VA37,16.21
2005 ET232,16.18
2005 EK264,15.94
2005 JC7,16.23
2005 LO59,16.18
2005 SR273,16.2
2005 UK193,16.24
2005 UF546,16.0
2006 BR141,16.21
2006 BS233,16.21
2006 BS292,16.3
2006 DL151,15.69
2006 HF14,15.9
2006 RO68,16.07
2006 SL249,16.25
