idhere,H_mag
2003 QD2,14.93
2004 RJ357,14.98
2005 GB152,15.88
2005 UK247,15.54
2005 US547,15.64
2005 VD131,16.01
2012 PQ55,15.55
2012 UB142,16.11
2012 VC122,15.61
2015 CW55,15.73
2015 PD274,15.87
2017 KB8,15.53
2003 SO450,16.22
2005 SX299,16.02
2005 UT290,15.86
2006 BW29,15.62
2007 CK65,16.25
2007 ES97,16.07
2007 FJ59,16.26
2004 DX69,16.24
2004 YV39,15.9
2004 XT75,15.25
2010 WD54,15.73
2014 HR175,15.98
2017 OA54,15.6
2002 UX34,15.04
2007 MJ22,15.56
2008 AV73,15.04
2008 RR174,15.48
2008 TC219,15.45
2010 HT120,15.67
2003 SO79,14.84
2006 QM141,15.59
2007 TN460,15.45
2007 VC133,16.06
2014 OO348,15.85
2014 QL152,16.11
2014 RE6,16.23
2014 RD41,15.65
2014 UV124,15.68
2015 TG7,15.39
2016 DZ4,15.7
2018 AG67,15.66
2018 GG17,15.75
2001 OF115,15.48
2005 QH202,16.21
2006 QY19,15.15
2006 SJ412,16.2
2006 WT225,16.09
2011 QN101,15.75
2011 SC92,16.15
2012 TJ191,15.37
2014 WC254,15.92
2014 WE506,15.34
2015 BA327,15.87
2015 XV11,16.11
2004 XH91,15.48
2005 EB186,15.51
2005 UV331,16.08
2007 HP100,15.33
2008 EV188,16.21
2010 VW186,15.29
2013 TX209,16.01
2013 VO75,16.15
2014 BU26,16.3
2015 BA238,15.86
2015 BF567,15.55
2015 DU40,16.12
2021 VJ14,15.47
2000 RP59,16.11
2001 RO156,16.15
2002 PO175,16.03
2002 PV202,15.46
2002 RB297,15.64
2002 XX122,16.0
2002 XR124,15.97
2003 SC104,15.78
2003 SG461,15.96
2003 UJ297,15.81
2003 UT305,16.2
2004 VB52,15.9
2005 GR238,15.66
2005 QY194,15.43
2005 SR144,16.21
2006 HC78,15.85
2006 RT3,15.87
2006 RN22,15.8
2006 RX57,15.98
2006 UD105,16.2
2006 WZ227,15.16
2007 HZ101,15.82
2007 RG302,16.08
2007 VJ383,16.06
2008 AJ149,16.01
2008 CR206,16.13
2008 EV30,16.21
2008 VD110,16.05
2008 YB32,15.75
2009 DS150,15.95
2009 EZ36,15.38
2009 QP55,15.96
2009 QU56,15.93
2009 SZ149,16.26
2009 SR245,15.48
2009 SB377,15.86
2009 SM398,15.59
2010 BX11,15.79
2010 DS81,15.87
2010 EJ114,16.08
2010 FU128,16.05
2010 FU138,15.71
2010 FN142,15.78
2010 GM17,16.26
2010 GT179,15.79
2010 GR205,16.16
2010 JQ90,16.15
2010 JU106,16.18
2010 KL126,15.87
2010 LT66,15.69
2010 LB92,15.87
2010 MJ93,16.19
2010 MU133,16.29
2010 OY1,16.25
2010 OH14,15.73
2010 PX6,15.75
2010 PV35,15.01
2010 PL40,15.9
2010 SB46,15.9
2010 ST53,16.1
2010 SF64,16.07
2010 TZ120,15.93
2010 VA189,15.96
2010 VP233,16.2
2010 XW119,15.98
2011 FO85,15.41
2011 FW102,15.27
2011 MD16,15.89
2011 QF105,15.9
2011 QN106,15.67
2011 RL14,15.96
2011 RB25,16.14
2011 RS33,16.27
2011 SS168,16.1
2011 SU223,16.3
2011 SO296,16.27
2011 SV328,16.26
2011 UV256,15.91
2011 UL389,16.09
2011 UG450,16.25
2011 WA52,16.14
2012 EZ25,16.1
2012 EH26,16.1
2012 TC208,16.02
2012 TS360,15.83
2013 AC193,15.41
2013 AN202,15.71
2013 CG222,15.73
2013 CS249,15.75
2013 CY258,15.77
2013 EL76,16.1
2013 EX159,15.77
2013 OM4,16.13
2013 RN53,15.21
2013 RH70,15.7
2014 BA20,16.02
2014 EW143,15.61
2014 EP209,15.7
2014 FA55,16.01
2014 FK84,15.95
2014 GB40,14.89
2014 GA79,15.82
2014 HT106,16.25
2014 HO167,15.98
2014 MR95,15.84
2014 NM30,15.43
2014 OB225,16.21
2014 QG280,16.27
2014 SZ53,15.88
2014 SC74,16.22
2014 SK141,16.24
2014 SL396,16.09
2014 TM86,15.78
2014 UT175,15.97
2014 UE275,15.95
2014 VF6,15.93
2014 WU134,16.27
2014 WR172,15.62
2014 WW246,15.89
2014 WE311,15.93
2014 WX598,15.95
2015 BP577,15.46
2015 CU49,15.96
2015 FX158,15.81
2015 FJ196,16.19
2015 HD59,15.54
2015 HS124,15.61
2015 JR10,15.7
2015 KB130,16.2
2015 KB220,16.0
2015 MC64,15.92
2015 ON80,16.07
2015 OX124,15.98
2015 PF163,16.29
2015 PD248,15.18
2015 RL237,16.05
2015 SK27,16.17
2015 TS189,15.77
2015 TZ239,15.27
2015 TC247,16.07
2015 VK84,15.62
2015 WS20,16.04
2016 AJ95,15.42
2016 AB373,15.99
2016 BU54,16.08
2016 CP19,15.7
2016 CD130,16.3
2016 DH44,16.13
2016 LG36,16.03
2016 LR96,16.3
2016 NX23,16.03
2016 NF94,16.26
2016 NK147,16.13
2016 TP74,16.25
2016 US247,15.95
2016 UW269,16.26
2017 AU2,15.35
2017 DP92,15.99
2017 DL133,16.0
2017 ER47,15.96
2017 OJ65,15.93
2017 OL78,16.17
2017 OO79,16.27
2017 OV94,15.82
2017 QJ11,16.2
2017 RL120,16.14
2017 SP104,16.12
2017 SM190,16.17
2017 UC136,15.94
2017 UU143,16.2
2017 VL50,15.77
2017 XW19,16.3
2018 FP36,16.21
2018 FG45,16.28
2018 RG29,16.18
2018 VB13,15.84
2018 VQ51,16.09
2018 YG10,16.3
2019 AJ25,15.6
2019 GA83,15.97
2019 JN52,15.88
2019 JN106,16.09
2019 RE31,16.26
2019 TQ75,16.28
2019 YZ24,16.17
2019 YN33,15.87
2020 BC26,15.9
2020 BT68,16.1
2020 DF11,15.8
2020 US36,15.85
2021 DF9,16.06
2021 GG69,16.3
2021 HS20,16.2
2021 PS51,16.16
2021 RB54,16.2
2021 SH36,15.82
2021 TK48,16.27
2022 SJ76,16.28
2022 SZ95,16.24
2023 FP54,16.22
