number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
  4230 ,van den Bergh      ,4230 van den Bergh (1973 ST1),11.85,2460796.5,0.1351596836368985,3.951370031355524,3.100235051499596,160.4306939168204,19.6465537044166,33.36404929519463
  4255 ,Spacewatch         ,4255 Spacewatch (1986 GW),13.34,2460796.5,0.14854659032751,3.979333763255964,2.609544588311985,183.726747754445,72.33808976733958,297.88297200914
  4317 ,Garibaldi          ,4317 Garibaldi (1980 DA1),11.01,2460796.5,0.1609461345483173,3.9867225639247,9.823379258374018,38.43611221957505,94.48984528770845,268.1629672241059
  4446 ,Carolyn            ,4446 Carolyn (1985 TT),11.27,2460796.5,0.2804599755092684,3.982310975468161,7.244699828626032,188.9341358517663,117.3691406997919,37.20729146065533
  4495 ,Dassanowsky        ,4495 Dassanowsky (1988 VS),11.7,2460796.5,0.1464470096402268,3.96251248443138,5.283622566871459,223.3847546797998,210.1900149946682,226.3067488318619
  4757 ,Liselotte          ,4757 Liselotte (1973 ST),12.42,2460796.5,0.0849172707801457,3.945963544653807,0.1739980519714764,91.30903262965056,78.9864920211065,46.84634866767934
  5368 ,Vitagliano         ,5368 Vitagliano (1984 SW5),11.13,2460796.5,0.08125323742037267,3.971807580744589,6.261885879542445,159.506199057306,337.1007339826108,280.6067554753139
  5439 ,Couturier          ,5439 Couturier (1990 RW),11.93,2460796.5,0.1634823528419545,3.928898084969102,1.217072181992862,350.8805518826025,325.6812761876742,166.3359677856203
  5603 ,Rausudake          ,5603 Rausudake (1992 CE),10.76,2460796.5,0.05340986819639146,3.989680873162952,4.371314867247102,195.9302164448971,7.602314448778449,25.33824405379303
  5661 ,Hildebrand         ,5661 Hildebrand (1977 PO1),11.09,2460796.5,0.2345174661073519,3.957231311349865,13.31856139680701,317.0354166258794,2.05108288533749,34.4577430109695
  5711 ,Eneev              ,5711 Eneev (1978 SO4),11.17,2460796.5,0.1635558268404345,3.936674296273256,6.371066985976118,14.12302044428675,296.2490634206927,33.13673223086667
  5928 ,Pindarus           ,5928 Pindarus (1973 SK1),11.65,2460796.5,0.119502015513138,3.970528173820905,9.276665863963807,163.8678689558699,104.0252427525628,267.2900763479561
  6124 ,Mecklenburg        ,6124 Mecklenburg (1987 SL10),12.47,2460796.5,0.2417341752306228,3.985537685621954,9.366645321641872,159.6973437343208,243.4196014255298,246.4982183326161
  6237 ,Chikushi           ,6237 Chikushi (1989 CV),11.65,2460796.5,0.07121908798180346,3.926465870553747,5.362528267187941,25.46770349894306,206.3397128685795,127.4755621518568
  6984 ,Lewiscarroll       ,6984 Lewiscarroll (1994 AO),10.77,2460796.5,0.1884246732915981,3.985567026852415,16.77883882985571,206.1563553346259,247.1837803718466,342.5230838704569
  7027 ,Toshihanda         ,7027 Toshihanda (1993 XT),11.87,2460796.5,0.1957737449970997,3.988272662163713,12.36924734310282,77.11722697780593,11.40417411420863,357.3370279090303
  7174 ,Semois             ,7174 Semois (1988 SQ),11.72,2460796.5,0.1747624988228363,3.997737579359801,12.64694891108428,354.3738996027847,289.8282417296394,260.2592142996737
  7284 ,1989 VW            ,7284 (1989 VW),11.7,2460796.5,0.1670504913403076,3.984329472012098,6.361161491872194,47.0671043959715,40.65914863876549,138.5901719593263
  7394 ,Xanthomalitia      ,7394 Xanthomalitia (1985 QX4),11.28,2460796.5,0.03532227657810823,3.921218084862111,8.617059279243664,174.6531408447006,192.849544369076,16.00707477610283
  8086 ,Peterthomas        ,8086 Peterthomas (1989 RB6),11.75,2460796.5,0.2066586441148,3.946783930492173,12.12202308447225,28.4134506392255,287.4164657246345,210.9669426447387
  8130 ,Seeberg            ,8130 Seeberg (1976 DJ1),11.83,2460796.5,0.132499245117425,4.0033261331905,5.962134818718019,113.5783152664221,91.46334332202466,6.280892469726026
  8376 ,1992 OZ9           ,8376 (1992 OZ9),11.87,2460796.5,0.1969209649344365,3.981520762584069,3.509849677023465,50.23881232865519,257.9861746213912,41.64915352565846
  8550 ,Hesiodos           ,8550 Hesiodos (1994 PV24),12.41,2460796.5,0.2603112909091133,3.945852290775882,2.876419222705802,23.46355322293836,336.4022835179149,313.1299959688332
  8551 ,Daitarabochi       ,8551 Daitarabochi (1994 VC7),11.3,2460796.5,0.153663235774859,3.989212223801663,14.16082699570339,52.14863671228493,260.3736455324315,20.75543250346057
  8743 ,Keneke             ,8743 Keneke (1998 EH12),11.69,2460796.5,0.1549071267378621,3.928360505424513,16.67717118049793,147.9779219183376,133.1743243451851,80.25888178763955
  8913 ,1995 YB2           ,8913 (1995 YB2),12.79,2460796.5,0.1286650019288769,3.953566146742919,1.859818122736755,309.699752461266,245.2180298729411,180.8193887029765
  8915 ,Sawaishujiro       ,8915 Sawaishujiro (1995 YK3),11.62,2460796.5,0.05021430629951985,3.927990008792968,3.691814413221256,245.1450386756175,326.1963957320688,181.1509983976794
  9661 ,Hohmann            ,9661 Hohmann (1996 FU13),11.47,2460796.5,0.232341897887941,3.940284146693457,13.00136916426954,56.50288017211192,287.1119948698085,144.297858893702
  9829 ,Murillo            ,9829 Murillo (1973 SJ1),12.24,2460796.5,0.1282698894117157,3.953801582709981,2.643644230177995,181.7319715683323,4.093854085321605,15.03378836005141
 10063 ,Erinleeryan        ,10063 Erinleeryan (1988 SZ2),12.83,2460796.5,0.03393367558646986,3.989076845909806,2.985953345891545,123.8836312904973,49.56633949367287,40.58358782362385
 10296 ,Rominadisisto      ,10296 Rominadisisto (1988 RQ12),13.0,2460796.5,0.2112101871645455,3.955233475504432,3.503393190115585,9.01466636835981,98.92747727236541,155.3117605987348
 10331 ,Peterbluhm         ,10331 Peterbluhm (1991 GM10),11.97,2460796.5,0.2251908554357701,3.991737867338629,4.6392885276202,105.477173269642,233.0971941095375,332.3953877825265
 10608 ,Mameta             ,10608 Mameta (1996 VB9),11.91,2460796.5,0.2559465264490294,3.997794611468925,4.520862158620802,159.885145588756,258.4944391695893,199.6035951606892
 10610 ,1996 XR1           ,10610 (1996 XR1),12.38,2460796.5,0.2189877757038208,3.961516103046018,4.632677208388076,87.41275009183232,283.6412143001776,279.1925891297329
 10632 ,1998 CV1           ,10632 (1998 CV1),12.36,2460796.5,0.2052131179682935,3.931111148828266,8.399811379846016,111.1073681387832,294.5099527725852,249.8876124492209
 10889 ,1997 AO1           ,10889 (1997 AO1),11.81,2460796.5,0.06707937850271237,3.928376846535754,5.197429655373579,112.4011954032299,173.4103581832299,60.51720996493035
 11175 ,1998 FY67          ,11175 (1998 FY67),13.19,2460796.5,0.09668651865975678,3.956747135395357,8.74937970367509,180.3497587619289,79.16887445966637,101.7257983008493
 11249 ,Etna               ,11249 Etna (1971 FD),12.29,2460796.5,0.194370625603541,3.948287912323366,14.45626016003904,3.718400076496523,296.2786077546496,210.3811681134156
 11274 ,Castillo-Rogez     ,11274 Castillo-Rogez (1988 SX2),13.77,2460796.5,0.2122172032349145,3.972410760894453,2.298795966991155,10.62707968002425,53.68322227367656,164.9725817479996
 11388 ,1998 VU4           ,11388 (1998 VU4),11.26,2460796.5,0.1217786901279191,3.937043613605103,8.210831961711161,217.2116128131227,279.0837810100102,69.87465828517925
 11410 ,1999 FU34          ,11410 (1999 FU34),11.57,2460796.5,0.1640632079205328,3.939632617100164,5.765235417021378,39.2532518325639,266.1091910188019,28.56842810948176
 11542 ,Solikamsk          ,11542 Solikamsk (1992 SU21),11.56,2460796.5,0.2420073528713723,3.955895150931452,6.866416090093487,16.73112755915585,49.16059116222659,2.14780115428769
 11739 ,Baton Rouge        ,11739 Baton Rouge (1998 SG27),12.06,2460796.5,0.2463321019278494,3.948835546653602,12.08130152732976,269.3025886116881,114.2974397846535,112.2969761355056
 11750 ,1999 NM33          ,11750 (1999 NM33),12.55,2460796.5,0.05282380157716526,3.969242491597089,2.680054779181108,327.0489835231393,330.6603351436325,85.7762999144877
 11951 ,1994 AJ3           ,11951 (1994 AJ3),13.19,2460796.5,0.13383529189767,3.984123328208142,4.423081058631778,161.1128452011456,310.5287815749483,326.7434144251319
 12006 ,Hruschka           ,12006 Hruschka (1996 OO),12.23,2460796.5,0.0864547542269652,3.963910137570329,10.25329337811699,231.6037855764321,8.46649260420414,284.176985234518
 12307 ,1991 UA            ,12307 (1991 UA),12.97,2460796.5,0.2536582663326427,3.981230586385447,2.336513869150404,351.6549296280801,26.45640456268862,84.8651220183766
 12896 ,Geoffroy           ,12896 Geoffroy (1998 QV102),12.43,2460796.5,0.2858246022044073,3.966094288130023,6.339570331289713,46.80936238430371,321.6251344094829,133.2173009063732
 12920 ,1998 VM15          ,12920 (1998 VM15),11.04,2460796.5,0.2065204152954374,3.969010868603728,6.355000803526506,220.5158447291385,85.88221292880377,188.2377619922565
 13035 ,1989 UA6           ,13035 (1989 UA6),11.92,2460796.5,0.1590420497464078,3.978647994842511,3.631984483423624,58.1244656984668,211.1367387536335,276.7466680771917
 13317 ,1998 RQ77          ,13317 (1998 RQ77),13.08,2460796.5,0.2009361725689019,3.979794742987179,7.151263778579824,40.2675885798589,312.4191575366573,135.7863372728863
 13381 ,1998 WJ17          ,13381 (1998 WJ17),12.58,2460796.5,0.2115762613057797,3.985776073586139,4.20439903702819,233.6330602593445,81.04012868330936,197.485057042244
 13504 ,1988 RV12          ,13504 (1988 RV12),11.95,2460796.5,0.1728258465658608,3.981859049175946,16.26812116423923,186.0763305493234,305.7487432306283,84.01358315665938
 13897 ,Vesuvius           ,13897 Vesuvius (4216 T-2),12.56,2460796.5,0.1345385027672893,3.990465609651547,9.243451766158827,168.4020893328356,142.5577534910881,239.2641510121641
 14195 ,1998 XD51          ,14195 (1998 XD51),11.97,2460796.5,0.1305077693604206,3.977085026737754,7.737793993026814,318.1844706210443,192.4964551957146,83.68153602510232
 14569 ,1998 QB32          ,14569 (1998 QB32),12.48,2460796.5,0.2827811612344366,3.986564607902794,10.86744311856864,345.8919023196464,36.7756217543452,103.1755597784194
 14669 ,Beletic            ,14669 Beletic (1999 DC),11.53,2460796.5,0.1291387931105671,3.992462301457384,5.763516063892564,195.5225998042032,248.4032304082196,158.0393816316314
 14845 ,Hegel              ,14845 Hegel (1988 VS6),13.17,2460796.5,0.2410603118573512,3.955335672835429,4.901874001051727,209.0822283016928,210.47436416326,211.7291567021056
 15068 ,Wiegert            ,15068 Wiegert (1999 AJ20),14.1,2460796.5,0.227919053417081,3.970223198941528,1.741179854490603,346.5158072120593,93.87312436417177,151.3863721045521
 15231 ,Ehdita             ,15231 Ehdita (1987 RO5),12.09,2460796.5,0.2929643750047582,3.941835555087857,6.814137002916042,158.2482366888458,216.0187687931256,280.1876566422561
 15278 ,Paquet             ,15278 Paquet (1991 PG7),11.64,2460796.5,0.2191106065295468,3.996059686221716,9.284536561722732,344.6489011076882,64.30207968932052,19.41169458905715
 15373 ,1996 WV1           ,15373 (1996 WV1),13.04,2460796.5,0.1541080987548921,3.968892079233579,8.430362407574142,214.3783074673416,206.3240164300108,202.9743849175563
 15376 ,Martak             ,15376 Martak (1997 CT1),12.65,2460796.5,0.3094927225189837,3.94006084858824,2.899121263761296,256.2889295742532,101.9094274362077,306.531011264429
 15417 ,Babylon            ,15417 Babylon (1998 DH34),11.96,2460796.5,0.05183321373952932,3.927579317035074,3.184542852254464,75.72649428741693,194.1135405901057,72.93389657075403
 15426 ,1998 SW43          ,15426 (1998 SW43),12.97,2460796.5,0.1628240085249198,3.966328803595836,5.247151666758063,239.4911540421572,134.5514652546339,129.9604704632871
 15505 ,1999 RF56          ,15505 (1999 RF56),11.78,2460796.5,0.1143358579614037,3.959085741273788,7.968491977737767,1.457752926834846,215.7484975743975,195.3665049125506
 15540 ,2000 CF18          ,15540 (2000 CF18),12.25,2460796.5,0.1097918009376653,3.985023627818658,16.96190675472745,142.4546659234228,78.05858456068133,348.6761334731171
 15545 ,2000 EK46          ,15545 (2000 EK46),13.25,2460796.5,0.1768364715669144,3.977162621563699,2.17395500823106,348.2171844782582,121.2516427296753,119.335567547293
 15615 ,2000 HU1           ,15615 (2000 HU1),12.49,2460796.5,0.2411582337881155,3.970259683801546,2.99846883610826,180.1515038074812,152.7803094865419,339.9030227008216
 15626 ,2000 HR50          ,15626 (2000 HR50),12.54,2460796.5,0.1139279770150185,3.955002450955023,1.801929615238357,137.9275904161379,288.5827213577192,224.313524020168
 15638 ,2000 JA65          ,15638 (2000 JA65),11.5,2460796.5,0.1845391093423144,3.991837605095227,9.410149910109759,118.575977444253,224.8773975723054,321.4469079355561
 15671 ,Suzannedebarbat    ,15671 Suzannedebarbat (1977 EP6),12.41,2460796.5,0.1029536389461704,3.968165479120997,7.204355989384417,185.0638323403502,17.31717399459081,34.93329643812744
