number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
 14845 ,Hegel              ,14845 Hegel (1988 VS6),13.17,2460796.5,0.2410603118511728,3.955335672871038,4.901874001133656,209.0822283016264,210.4743641614421,211.7291566990474
 15068 ,Wiegert            ,15068 Wiegert (1999 AJ20),14.1,2460796.5,0.2279190537257378,3.970223198830718,1.741179762170241,346.5158050836756,93.87312647450254,151.3863720998347
 15231 ,Ehdita             ,15231 Ehdita (1987 RO5),12.08,2460796.5,0.2929643749621617,3.941835554818641,6.814137003592269,158.2482366863136,216.018768807577,280.1876566622715
 15278 ,Paquet             ,15278 Paquet (1991 PG7),11.64,2460796.5,0.2191106065243229,3.996059686169682,9.284536562061039,344.6489011079773,64.3020796856859,19.41169459931059
 15373 ,1996 WV1           ,15373 (1996 WV1),13.04,2460796.5,0.1541080988571033,3.968892078882961,8.430362407626838,214.3783074668942,206.3240164463678,202.9743849476934
 15376 ,Martak             ,15376 Martak (1997 CT1),12.64,2460796.5,0.3094927224909251,3.940060848480349,2.899121263765908,256.2889295754333,101.909427435465,306.5310112769254
 15417 ,Babylon            ,15417 Babylon (1998 DH34),11.96,2460796.5,0.05183321380841341,3.927579317674482,3.184542851464916,75.72649429564522,194.1135407437018,72.93389631806578
 15426 ,1998 SW43          ,15426 (1998 SW43),12.97,2460796.5,0.1628240085280044,3.966328803580805,5.247151666736335,239.4911540425447,134.5514652542163,129.9604704652024
 15505 ,1999 RF56          ,15505 (1999 RF56),11.78,2460796.5,0.114335857888356,3.959085741527281,7.968491977704162,1.457752924871111,215.7484975615702,195.3665048896486
 15540 ,2000 CF18          ,15540 (2000 CF18),12.25,2460796.5,0.1097918008360444,3.985023627419627,16.96190675444366,142.4546659239461,78.05858456737018,348.6761335206795
 15545 ,2000 EK46          ,15545 (2000 EK46),13.25,2460796.5,0.1768364715446668,3.977162622134385,2.173955007872753,348.2171844798776,121.2516427761107,119.3355674161303
 15615 ,2000 HU1           ,15615 (2000 HU1),12.48,2460796.5,0.2411582337873584,3.970259683876458,2.998468837142743,180.1515038217739,152.7803094850683,339.9030226823462
 15626 ,2000 HR50          ,15626 (2000 HR50),12.54,2460796.5,0.1139279770180554,3.955002450881882,1.801929615615617,137.9275904274519,288.5827213654449,224.313524009116
 15638 ,2000 JA65          ,15638 (2000 JA65),11.5,2460796.5,0.1845391094797343,3.991837605860697,9.41014990974026,118.5759774504789,224.8773975619478,321.4469078492847
 15671 ,Suzannedebarbat    ,15671 Suzannedebarbat (1977 EP6),12.4,2460796.5,0.1029536388555348,3.96816547878702,7.204355989720456,185.0638323380637,17.31717396899188,34.93329651439947
 15783 ,Briancox           ,15783 Briancox (1993 PZ2),12.38,2460796.5,0.2572121616788158,3.950799062003433,4.845948189002291,220.3242709950536,119.4231099465727,3.811574934582362
 16232 ,Chijagerbs         ,16232 Chijagerbs (2000 ED152),12.82,2460796.5,0.1138507925624675,3.956451559400822,7.926098659603068,251.1940453003556,254.0202867658005,92.90497775379933
 16843 ,1997 XX3           ,16843 (1997 XX3),12.21,2460796.5,0.1818742390810984,3.94744456277125,5.374094574631925,158.5621866626254,136.0852585872256,67.70002352703229
 16915 ,Bredthauer         ,16915 Bredthauer (1998 FR10),12.13,2460796.5,0.1499324705643491,3.929227749382785,7.63840734201673,349.3197116859361,257.249805520553,124.3517602230802
 16927 ,1998 FX68          ,16927 (1998 FX68),12.16,2460796.5,0.1393065757751913,3.973381787560015,12.92475324606022,207.1180327267023,94.0488162930314,64.08007213898756
 16970 ,1998 VV2           ,16970 (1998 VV2),11.85,2460796.5,0.1133031489282004,3.962384875334345,8.768152346126802,233.0803053571054,39.93456860709389,252.6482712400977
 17212 ,2000 AV183         ,17212 (2000 AV183),12.6,2460796.5,0.2616432765626293,3.970786689102409,9.062409742723128,162.1471114092877,184.418801626084,160.479561598299
 17305 ,Caniff             ,17305 Caniff (4652 P-L),12.04,2460796.5,0.1373816088744319,3.998903703718427,6.686528563438991,349.0912870287827,118.8380464153109,291.6372160881677
 17397 ,1981 EF48          ,17397 (1981 EF48),13.23,2460796.5,0.02893922575091109,3.943058856904132,1.722886129929483,221.4485973756825,177.4041729720387,25.80580300108423
 17428 ,Charleroi          ,17428 Charleroi (1989 DL),11.46,2460796.5,0.113398231587243,3.932248821870813,8.42672856634305,255.9453207371046,327.0721281045893,168.2928576011306
 17867 ,1998 KD46          ,17867 (1998 KD46),12.49,2460796.5,0.06461707758281889,3.971269029877488,8.19714672924858,105.0703072676694,114.381553587179,170.7304899080677
 18036 ,1999 ND26          ,18036 (1999 ND26),13.2,2460796.5,0.1434862800948597,3.967996619985439,3.9113516993917,82.90944923986054,164.465201329886,132.6005358655757
 19034 ,Santorini          ,19034 Santorini (2554 P-L),13.02,2460796.5,0.248930609640643,3.968442397746204,3.51991894742848,50.33905760410765,357.5390994733864,36.69881502969236
 19752 ,2000 CH67          ,19752 (2000 CH67),11.64,2460796.5,0.1546661564949137,3.999169755212793,23.91082077046372,155.2952861950212,316.1209424315409,125.1978423922377
 20038 ,Arasaki            ,20038 Arasaki (1992 UN5),11.72,2460796.5,0.2431373868983382,3.997547787894403,19.53992274554163,56.17469223681565,6.414527825802907,16.61506477672393
 20628 ,1999 TS40          ,20628 (1999 TS40),12.64,2460796.5,0.2196655140180469,4.008155558203079,6.542011785145457,146.2348193362416,276.6755188298223,39.86517392387372
 20630 ,1999 TJ90          ,20630 (1999 TJ90),14.25,2460796.5,0.2825386703887195,4.004373117829106,2.357762565501829,127.3059465451412,275.4375383006929,51.241192082994
